,NI: Not indicated,,,Forage resources (description of level of resources provided where indicated),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Eriosema psoraleoides,Yes,Perennial shrub ,Uncertain source,Yes (Medium),Flowering from October to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Glycine javanica,No,Perennial herb,Yes (Poor),Yes (Medium),Flowering from September to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Indigofera costata,Yes,Annual or perennial herb,Yes (Poor),Yes (Abundant), Flowering from throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Indigofera daleoides,Yes,Annual or perennial herb,Yes (Poor),Yes (Abundant), Flowering from throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Indigofera langebergensis,Yes,Annual or perennial herb,Yes (Poor),Yes (Abundant), Flowering from throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Lathyrus latifolius,Yes,Annual or perennial herb,Yes (Poor),Yes (Medium), Flowering from October to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Lebeckia linearifolia,Yes,Perennial herb,Uncertain source,Yes (Medium), Flowering from September to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Lessertia frutescens,Yes,Perennial herb,Yes (Medium),Yes (Medium), Flowering from May to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Macrotyloma axillare,Yes,Perennial herb,Uncertain source,Yes (Medium), Flowering from August to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Melolobium candicans,Yes,Short-lived perennial shrub,Yes (Poor),Yes (Abundant), Flowering from throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Melolobium canescens,Yes,Short-lived perennial shrub,Yes (Poor),Yes (Abundant), Flowering from throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Melolobium microphyllum,Yes,Short-lived perennial shrub,Yes (Poor),Yes (Abundant), Flowering from throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Otholobium fruticans,Yes,Perennial herb,Yes (Poor),Yes (Abundant), Flowering from July to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Otholobium hirtum,Yes,Perennial herb,Yes (Poor),Yes (Abundant),Flowering from July to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Otholobium virgatum,Yes,Perennial herb,Yes (Poor),Yes (Abundant),Flowering from July to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Podalyria calyptrata,Yes,Perennial herb,Uncertain source,Yes (Abundant),Flowering from July to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Podalyria sericea,Yes,Perennial herb,Uncertain source,Yes (Abundant),Flowering from May to August ,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia augustissima,No,Perennial shrub or small tree,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Sesbania sesban,Yes,Perennial shrub,NI,Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Colliandra tweediei,No,Perennial herb,NI,Yes (Abundant),Flowering from January to December ,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Afzelia quanzensis ,Yes,Perennial tree,NI,Yes (Abundant),Flowering from September to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Sericostachys scandens,Yes,Perennial shrub,NI,Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Millettia ferruginea,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),Flowering from December to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Delonix regia,Yes,Perennial tree ,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Gliricidia sepium,No,Perennial tree,NI,Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Pentaclethra macrophylla,Yes,Perennial tree,NI,Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Tephrosia vogelii,Yes,Perennial small tree or herb,NI,NI,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Tephrosia villosa,Yes,Annual or perennial herb,Yes (Abundant),NI,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Kotschya recurvifolia,Yes,Perennial shrub or subshrub,NI,Yes (Abundant),Flowering from May to June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Dalbergia lactea,Yes,Perennial small tree or climbing shrub,Yes (Abundant),No (do not provide nectar),Flowering from July to September,Carpenter bees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Dalbergia nitidula,Yes,Perennial small tree or climbing shrub,Yes (Abundant),NI,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Indigofera schimperi,Yes,Perennial tree,Yes (Abundant),No (do not provide nectar),Flowering from September to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia nilotica ,Yes,Perennial tree,Yes (Abundant),No (do not provide nectar),Flowering from September to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Dichrostachys cinerea,Yes,Perennial tree,Yes (Abundant),No (do not provide nectar),Flowering nearly all year round but mainly Sepember to May,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Adenocarpus mannii,Yes,Perennial shrub,Yes (Abundant),No (do not provide nectar),Flowering from September to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia baileyana,No,Perennial tree,Yes (Abundant),No (do not provide nectar),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia cultriformis,No,Perennial tree,Yes (Medium),No (do not provide nectar),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia pendula,No,Perennial tree,Yes (Medium),No (do not provide nectar),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia podalyriifolia,No,Perennial tree,Yes (Abundant),No (do not provide nectar),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Peltophorum pterocarpum,No,Perennial tree,Yes (Abundant),No (do not provide nectar),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Mimosa pudica,No,Perennial shrub,Yes (Abundant),uncertain,rwanda list,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Ulex europaeus,No,Perennial shrub,Yes (Abundant),uncertain ,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Cytisus decumbens,No,Perennial shrub,Yes (Abundant),uncertain,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Cytisus X kewensis,No,Perennial shrub,Yes (Abundant),uncertain,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Crotalaria brevidens,Yes,Annual or short-lived perennial herb,NI,NI,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Senegalia senegal,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Vachellia tortilis,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Acacia vestita,No,Perennial tree,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Calliandra tweedii,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabaceae,Vachellia sieberiana,Yes,Perennial tree,Yes (Abundant),Yes (Abundant),NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagaceae,Quercus acutissima,No,Perennial tree,Yes (Abundant),No (do not provide nectar),Flowering from August to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagaceae,Quercus cerris,No,Perennial tree,Yes (Abundant),No (do not provide nectar),Flowering from August to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagaceae,Quercus ilex,Yes,Perennial tree,Yes (Abundant),No (do not provide nectar),Flowering from August to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagaceae,Quercus palustris,No,Perennial tree,Yes (Abundant),No (do not provide nectar),Flowering from August to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagaceae,Quercus robur,No,Perennial tree,Yes (Abundant),No (do not provide nectar),Flowering from August to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagaceae,Quercus rugosa,No,Perennial tree,Yes (Abundant),No (do not provide nectar),Flowering from August to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fagaceae,Quercus suber,Yes,Perennial tree,Yes (Abundant),No (do not provide nectar),Flowering from August to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Iboza riparia,Yes,Perennial shrub or small tree,NI,NI,Flowering in June,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Achyrospermum schimperi,Yes,Perennial herb or subshrub,Yes (Abundant),Yes (Poor),Flowering from August to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Lavandula angustifolia,No,Perennial subshrub,Yes (Abundant),Yes (Abundant),3-4 months with continuous water supply,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Aeollanthus abyssinicus,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering from May to September,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Becium grandiflorum,Yes,Perennial aromatic shrub or subshrub,Yes (Abundant),Yes (Abundant),Flowering throughout the year but more profusely after the short rains,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Ajuga integrifolia,Yes,Perennial  herb,Yes (Abundant),Yes (Abundant),Flowering from late August to October,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Clerodendrum myricoides,Yes,Perennial herb or subshrub,Yes (Abundant),Yes (Abundant),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Isodon schimperi,Yes,Perennial herb or subshrub,Yes (Abundant),Yes (Abundant),Flowering from July to February but more profusely after the big rains (july-Sept) up to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Leonotis nepetifolia,Yes,Perennial herb or subshrub,NI,NI,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Leonotis ocymifolia,Yes,Perennial shrubby herb,Yes (Poor),Yes (Abundant),Flowering from  October to March and also in May,Sunbirds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Plastostoma africanum,Yes,Annual or short-lived perennial,Yes (Abundant),Yes (Abundant),Flowering from August to November and March to April,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Leucas martinicensis,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),It can be found flowering at any time of the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Leucas glabrata,Yes,Perennial shrub,NI,NI,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Leucas abyssinica,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from September to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Mentha spicata,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Nepeta azurea,Yes,Perennial herb or shrub,Yes (Abundant),Yes (Abundant),Flowering from August to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Ocimum lamiifolium,Yes,Perennial herb or shrub,Yes (Abundant),Yes (Abundant),Flowering from April to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Ocimum urticifolium,Yes,Perennial herb or shrub,Yes (Abundant),Yes (Abundant),Flowering all year round but most profusely after the rains (July-Sept),NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Origanum majorana,No,Perennial herb or shrub,Yes (Abundant),Yes (Abundant),Flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Otostegia tomentosa,Yes,Perennial herb or shrub,Yes (Abundant),Yes (Abundant),Flowering almost all year round but more profusely after the big rains (July-September) to January,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Otostegia fruticosa,Yes,Perennial herb or shrub,Yes (Abundant),Yes (Abundant),flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Otostegia integrifolia,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Plectranthus assurgens,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering from September to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Plectranthus barbatus,Yes,Perennial herb or small shrub,Yes (Abundant),Yes (Abundant),Flowering from September to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Plectranthus lanuginosus,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),"Flowering throughout the year, but mostly during and after the rains",NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Plectranthus garckeanus,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering from August to December,Carpenter bees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Pycnostacys eminii,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering from March-november,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Plectranthus ornatus,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering profusely after the rains but also throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Plectranthus punctatus,Yes,Annual or perennial herb,Yes (Abundant),Yes (Abundant),"Flowering throughout the year, but more profusely after rains",NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Pycnostachys abyssinica,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering from the middle of the big rains from August to March,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Plectranthus garckeanus,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering from August to December,Carpenter bees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Pycnostachys reticulata,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering from October to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Salvia leucantha,No,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering all year round,Carpenter bees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Rosmarinus officinalis,Yes,Perennial shrub,Yes (Medium),Yes (Abundant),Flowering throughout the year but mainly after the big rains from September to February,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Salvia merjamie,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering all year round but more profusely after the rains from September to November,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Salvia nilotica,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering profusely both during and after the rains,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Salvia coccinea,No,Perennial herb,NI,NI,NI,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Salvia schimperi,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering almost all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Salvia officinalis,No,Perennial subshrub,Yes (Minor),Yes (Abundant),Flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Salvia splendens,No,Perennial shrub or subshrub,Yes (Abundant),Yes (Abundant),Flowering throughout the year,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Satureja abyssinica,Yes,Annual or perennial herb,Yes (Abundant),Yes (Abundant),Flowering profusely after the big rains from September to December,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Satureja punctata,Yes,Perennial shrub or herb,Yes (Abundant),Yes (Abundant),Flowering all year round but more profusely after rains,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Satureja paradoxa,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering during and after the rains,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Satureja simensis,Yes,Perennial shrub,Yes (Abundant),Yes (Abundant),Flowering all year round but profusely during and after the rains,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Stachys aculeolata,Yes,Perennial herb,Yes (Abundant),Yes (Abundant),Flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamiaceae,Thymus schiniperi,Yes,Perennial shrubby herb,Yes (Abundant),Yes (Abundant),Flowering from March to June. Some plants are found flowering all year round,NI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
